city_name;zipcode;Zusatzziffer;community_name;canton;E;N
Banco;6981;16;Bedigliora;TI;8.840;46.011
Bangerten b. Dieterswil;3256;2;Rapperswil (BE);BE;7.448;47.057
Bannwil;4913;0;Bannwil;BE;7.730;47.237
Barbengo;6917;0;Lugano;TI;8.914;45.958
Barberêche;1783;4;Barberêche;FR;7.161;46.857
Bargen BE;3282;0;Bargen (BE);BE;7.257;47.040
Bargen SH;8233;0;Bargen (SH);SH;8.610;47.792
Barmelweid;5017;0;Erlinsbach (AG);AG;7.970;47.422
Barzheim;8241;0;Thayngen;SH;8.721;47.761
Basadingen;8254;0;Basadingen-Schlattingen;TG;8.743;47.672
Basel;4001;0;Basel;BS;7.589;47.556
Basel;4051;0;Basel;BS;7.587;47.554
Basel;4052;0;Basel;BS;7.607;47.547
Basel;4052;0;Basel;BS;7.596;47.522
Basel;4053;0;Basel;BS;7.601;47.538
Basel;4054;0;Basel;BS;7.569;47.550
Basel;4055;0;Basel;BS;7.564;47.564
Basel;4056;0;Basel;BS;7.573;47.570
Basel;4057;0;Basel;BS;7.600;47.576
Basel;4058;0;Basel;BS;7.591;47.554
Basel;4059;0;Basel;BS;7.593;47.532
Basse-Nendaz;1996;0;Nendaz;VS;7.312;46.192
Bassecourt;2854;0;Haute-Sorne;JU;7.248;47.334
Bassersdorf;8303;0;Bassersdorf;ZH;8.621;47.439
Bassins;1269;0;Bassins;VD;6.232;46.462
Bauen;6466;0;Bauen;UR;8.578;46.935
Baulmes;1446;0;Baulmes;VD;6.518;46.791
Bauma;8494;0;Bauma;ZH;8.877;47.367
Bavois;1372;0;Bavois;VD;6.566;46.685
Bazenheid;9602;0;Kirchberg (SG);SG;9.065;47.412
Beatenberg;3803;0;Beatenberg;BE;7.791;46.696
Beckenried;6375;0;Beckenried;NW;8.469;46.965
Bedano;6930;0;Bedano;TI;8.919;46.051
Bedigliora;6981;11;Bedigliora;TI;8.829;46.022
Bedigliora;6981;11;Bedigliora;TI;8.842;46.003
Bedretto;6781;4;Bedretto;TI;8.512;46.506
Beggingen;8228;0;Beggingen;SH;8.534;47.768
Begnins;1268;0;Begnins;VD;6.252;46.441
Beinwil (Freiamt);5637;0;Beinwil (Freiamt);AG;8.339;47.229
Beinwil SO;4229;0;Beinwil (SO);SO;7.590;47.363
Beinwil am See;5712;0;Beinwil am See;AG;8.208;47.265
Belalp;3914;1;Naters;VS;7.972;46.372
Belfaux;1782;0;Belfaux;FR;7.107;46.822
Bellach;4512;0;Bellach;SO;7.492;47.215
Bellelay;2713;0;Saicourt;BE;7.168;47.264
Bellerive VD;1585;2;Vully-les-Lacs;VD;7.023;46.925
Bellevue;1293;0;Bellevue;GE;6.153;46.254
Bellikon;5454;0;Bellikon;AG;8.349;47.392
Bellinzona;6500;0;Bellinzona;TI;9.024;46.192
Bellinzona;6503;0;Bellinzona;TI;9.007;46.209
Bellmund;2564;0;Bellmund;BE;7.245;47.107
Bellwald;3997;0;Bellwald;VS;8.161;46.426
Belmont-sur-Lausanne;1092;0;Belmont-sur-Lausanne;VD;6.680;46.520
Belmont-sur-Yverdon;1432;0;Belmont-sur-Yverdon;VD;6.624;46.746
Belp;3123;0;Belp;BE;7.509;46.893
